"All Establishment Details"
"February 2017"
"Report Date: 05/05/2017 11:07 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"""ALWAYS AFTER 5"", INC.","140700460","Springfield","5","257213.5900","236746.5500","20467.0400","79523.0000","59055.9600","20467.0400","6140.2000","5116.8300","1023.3700",
"""GALE STREET INN DIAMOND LAKE"" INC.","120712538","Mundelein","5","292305.7100","267988.0200","24317.6900","90925.0000","66607.1600","24317.8400","7295.3800","6079.4800","1215.9000",
"""Mt. Morris Moose Lodge No. 1551, Loyal Order of Moose""","130802222","Mount Morris","4","60522.1600","58077.9800","2444.1800","20783.0000","18338.8200","2444.1800","733.3100","611.0900","122.2200",
"""Tammy's Hallway Inc.""","120700412","Centralia","5","145496.1600","131090.0800","14406.0800","43862.0000","29455.4900","14406.5100","4322.0400","3601.7000","720.3400",
"""The Original"" Little Joe's Pizza, Inc.","160703400","New Lenox","3","50979.0600","45006.8100","5972.2500","16989.0000","11016.7500","5972.2500","1791.7000","1493.0800","298.6200",
"""TIENDA RANCHITO"" INCORPORATED","130706357","Fairmont City","5","158316.0900","146419.3400","11896.7500","57404.0000","45507.4900","11896.5100","3568.9400","2974.1200","594.8200",
"""Toomey Enterprises, Inc.""","130703130","Carbondale","3","44624.9000","40804.8400","3820.0600","15909.0000","12101.4900","3807.5100","1142.2600","951.8900","190.3700",
"""Unique"" Foods, Incorporated","120709143","Effingham County","3","16065.8100","14808.0400","1257.7700","4641.0000","3383.2300","1257.7700","377.3400","314.4500","62.8900",
"'Albion Lodge No. 621, Loyal Order of Moose'","140900593","Albion","3","37576.3500","34828.6100","2747.7400","9420.0000","6672.2600","2747.7400","824.3400","686.9500","137.3900",
"'CARPENTERSVILLE, LODGE NO. 1958, LOYAL ORDER OF MOOSE'","120809800","Carpentersville","5","94008.6800","89128.4300","4880.2500","30563.0000","25682.7500","4880.2500","1464.0900","1220.0700","244.0200",
"'Flora Moose Lodge, No 1384'","120804264","Flora","4","85749.3100","80230.7800","5518.5300","20537.0000","15018.4700","5518.5300","1655.5900","1379.6600","275.9300",
"'INDIAN CREEK GOLF AND COUNTRY CLUB'","140700067","Livingston County","3","45104.0000","45549.8300","-445.8300","11453.0000","11898.4500","-445.4500","-133.6500","-111.3800","-22.2700",
