"All Establishment Details"
"January 2017"
"Report Date: 05/05/2017 11:10 AM",
"Establishment","License Number","Municipality","VGT Count","Amount Played","Amount Won","Net Wager","Funds In","Funds Out","NTI","NTI Tax Rate (30%)","State Share","Municipality Share",
"""ALWAYS AFTER 5"", INC.","140700460","Springfield","5","243089.6400","225605.1600","17484.4800","76249.0000","58764.5200","17484.4800","5245.4000","4371.1700","874.2300",
"""GALE STREET INN DIAMOND LAKE"" INC.","120712538","Mundelein","5","280912.0700","256756.6400","24155.4300","88916.0000","64760.9700","24155.0300","7246.5700","6038.8100","1207.7600",
"""Mt. Morris Moose Lodge No. 1551, Loyal Order of Moose""","130802222","Mount Morris","4","54684.7500","49701.7800","4982.9700","20533.0000","15550.0300","4982.9700","1494.9100","1245.7600","249.1500",
"""Tammy's Hallway Inc.""","120700412","Centralia","5","133523.7100","124205.2600","9318.4500","40515.0000","31196.6700","9318.3300","2795.5600","2329.6400","465.9200",
"""TIENDA RANCHITO"" INCORPORATED","130706357","Fairmont City","5","141865.3700","129147.8600","12717.5100","50673.0000","37955.1000","12717.9000","3815.4200","3179.5100","635.9100",
"""Toomey Enterprises, Inc.""","130703130","Carbondale","3","37773.7100","36263.8200","1509.8900","15107.0000","13584.5600","1522.4400","456.7100","380.5900","76.1200",
"""Unique"" Foods, Incorporated","120709143","Effingham County","3","18774.0900","16033.3700","2740.7200","5958.0000","3217.2800","2740.7200","822.2300","685.1900","137.0400",
"'Albion Lodge No. 621, Loyal Order of Moose'","140900593","Albion","3","45066.6600","42383.7800","2682.8800","10867.0000","8184.1200","2682.8800","804.8500","670.7100","134.1400",
"'CARPENTERSVILLE, LODGE NO. 1958, LOYAL ORDER OF MOOSE'","120809800","Carpentersville","5","82046.5300","75389.7100","6656.8200","30703.0000","24046.1800","6656.8200","1997.0600","1664.2200","332.8400",
"'Flora Moose Lodge, No 1384'","120804264","Flora","4","121274.2800","111346.8400","9927.4400","30874.0000","20946.5600","9927.4400","2978.3000","2481.9200","496.3800",
"'INDIAN CREEK GOLF AND COUNTRY CLUB'","140700067","Livingston County","3","37880.1900","32745.1000","5135.0900","12963.0000","7827.9100","5135.0900","1540.5800","1283.8200","256.7600",
"'Murphysboro Lodge No. 1591 Loyal Order of Moose'","120805163","Jackson County","5","44602.7700","39863.6200","4739.1500","27757.0000","23017.8500","4739.1500","1421.7900","1184.8300","236.9600",
"'OTTAWA LODGE NO. 960, LOYAL ORDER OF MOOSE'","120801306","La Salle County","4","108232.7300","98860.8100","9371.9200","39234.0000","29861.8900","9372.1100","2811.6400","2343.0400","468.6000",
"(1) Mr. T's Tavern and Liquor Store, Incorporated","120710005","Staunton","3","94193.7500","85377.3800","8816.3700","27789.0000","18972.6300","8816.3700","2644.9200","2204.1000","440.8200",
"101 Billiards, Inc.","160700161","Lena","2","16148.7900","15315.7800","833.0100","3817.0000","2983.9900","833.0100","249.9300","208.2800","41.6500",
"103 East Bar & Grill","120700699","Buckley","5","175951.2700","162130.5200","13820.7500","52953.0000","39132.3200","13820.6800","4146.2000","3455.1600","691.0400",
"107 IROQUOIS ST LLC","120700459","East Cape Girardeau","5","286412.4100","262648.7500","23763.6600","69990.0000","46226.3400","23763.6600","7129.1200","5940.9400","1188.1800",
"11508 BIG FOOT CORPORATION","130702713","McHenry County","5","116271.1300","102476.6700","13794.4600","41349.0000","27554.7500","13794.2500","4138.3500","3448.6300","689.7200",
"12 STRIKE LLC","120705071","Iroquois","2","27395.8600","24643.2100","2752.6500","8972.0000","6219.1800","2752.8200","825.8400","688.2000","137.6400",
"120 WEST, INC.","160702309","McHenry","5","63703.5500","59598.6200","4104.9300","20517.0000","16412.0700","4104.9300","1231.5500","1026.2900","205.2600",
"129 Warren, Inc.","130704752","Bunker Hill","5","96428.1300","87340.1500","9087.9800","32060.0000","22971.7700","9088.2300","2726.5500","2272.1300","454.4200",
"1319 Central Park, L.L.C.","120701994","O'Fallon","5","205055.3600","185773.0600","19282.3000","60108.0000","40825.7000","19282.3000","5784.7800","4820.6500","964.1300",
