All Establishment Details,,,,,,,,,,,,
Mar-17,,,,,,,,,,,,
Report Date: 05/01/2017 08:52 AM,,,,,,,,,,,,
Establishment,License Number,Municipality,VGT Count,Amount Played,Amount Won,Net Wager,Funds In,Funds Out,NTI,NTI Tax Rate (30%),State Share,Municipality Share
"""ALWAYS AFTER 5"", INC.",140700460,Springfield,5,241929.86,222344.73,19585.13,79323,59737.82,19585.18,5875.65,4896.38,979.27
"""GALE STREET INN DIAMOND LAKE"" INC.",120712538,Mundelein,5,271680.46,245715.6,25964.86,85033,59068.29,25964.71,7789.51,6491.26,1298.25
"""Mt. Morris Moose Lodge No. 1551, Loyal Order of Moose""",130802222,Mount Morris,4,58256.52,53292.66,4963.86,22568,17604.14,4963.86,1489.15,1240.96,248.19
"""Tammy's Hallway Inc.""",120700412,Centralia,5,196986.75,179096.03,17890.72,58748,40857.81,17890.19,5367.13,4472.61,894.52
"""The Original"" Little Joe's Pizza, Inc.",160703400,New Lenox,3,85897.03,79713.54,6183.49,26383,20199.34,6183.66,1855.11,1545.92,309.19
"""TIENDA RANCHITO"" INCORPORATED",130706357,Fairmont City,5,180601,162309.13,18291.87,64379,46087.18,18291.82,5487.61,4573.01,914.6
"""Toomey Enterprises, Inc.""",130703130,Carbondale,3,45183.07,41186.92,3996.15,17899,13902.67,3996.33,1198.92,999.1,199.82
"""Unique"" Foods, Incorporated",120709143,Effingham County,3,30449.72,28380.16,2069.56,9898,7828.44,2069.56,620.85,517.37,103.48
"'Albion Lodge No. 621, Loyal Order of Moose'",140900593,Albion,3,34848.55,31338.18,3510.37,10203,6692.63,3510.37,1053.15,877.62,175.53
"'CARPENTERSVILLE, LODGE NO. 1958, LOYAL ORDER OF MOOSE'",120809800,Carpentersville,5,86771.09,78821.51,7949.58,31991,24041.42,7949.58,2384.96,1987.47,397.49
"'Flora Moose Lodge, No 1384'",120804264,Flora,4,144399.71,130678.6,13721.11,36170,22448.89,13721.11,4116.44,3430.36,686.08
'INDIAN CREEK GOLF AND COUNTRY CLUB',140700067,Livingston County,3,46301.42,41069.51,5231.91,15943,10711.21,5231.79,1569.56,1307.96,261.6
'Murphysboro Lodge No. 1591 Loyal Order of Moose',120805163,Jackson County,5,69261.06,63851.65,5409.41,32027,26617.89,5409.11,1622.77,1352.31,270.46
"'OTTAWA LODGE NO. 960, LOYAL ORDER OF MOOSE'",120801306,La Salle County,4,92447.64,81776.07,10671.57,33820,23148.28,10671.72,3201.61,2668.01,533.6
"(1) Mr. T's Tavern and Liquor Store, Incorporated",120710005,Staunton,4,114440.38,105025.65,9414.73,32543,23129.27,9413.73,2824.1,2353.42,470.68
100 Proof LLC,160703943,Clayton,3,41936.74,37723.62,4213.12,12685,8471.99,4213.01,1124.92,937.43,187.49
"101 Billiards, Inc.",160700161,Lena,2,27796.46,25787.94,2008.52,7358,5349.48,2008.52,602.58,502.15,100.43
103 East Bar & Grill,120700699,Buckley,5,187370.06,172951.32,14418.74,56986,42567.26,14418.74,4325.62,3604.68,720.94
107 IROQUOIS ST LLC,120700459,East Cape Girardeau,5,307123.06,283547.6,23575.46,81186,57598.24,23587.76,7076.44,5897.04,1179.4
11508 BIG FOOT CORPORATION,130702713,McHenry County,5,151575.31,138310.61,13264.7,48272,35007.3,13264.7,3979.5,3316.25,663.25
12 STRIKE LLC,120705071,Iroquois,2,30942.47,26852.88,4089.59,8660,4570.41,4089.59,1226.89,1022.4,204.49
"120 WEST, INC.",160702309,McHenry,5,27986.4,26449.15,1537.25,6943,5405.75,1537.25,461.17,384.31,76.86
"129 Warren, Inc.",130704752,Bunker Hill,5,174671.23,161211.69,13459.54,54137,40677.46,13459.54,4037.96,3364.97,672.99
